"Wholesale50","001-10-0006-03",7.5
"Wholesale50","001-10-0046-02",7.5
"Wholesale50","001-10-0096-02",7.5
"Wholesale50","001-10-0096-03",7.5
"Wholesale50","001-10-0096-04",7.5
"Wholesale50","001-10-0096-05",7.5
"Wholesale50","001-10-0104-12",7.5
"Wholesale50","001-10-0109-53",7.5
"Wholesale50","001-10-0144-01",7.5
"Wholesale50","001-10-0144-03",7.5
"Wholesale50","001-10-0314-01",7.5
"PalmBeachTan","001-10-0006-03",6.75
"PalmBeachTan","001-10-0046-02",6.75
"PalmBeachTan","001-10-0096-02",6.75
"PalmBeachTan","001-10-0096-03",6.75
"PalmBeachTan","001-10-0096-04",6.75
"PalmBeachTan","001-10-0096-05",6.75
"PalmBeachTan","001-10-0104-12",6.75
"PalmBeachTan","001-10-0109-53",6.75
"PalmBeachTan","001-10-0144-01",6.75
"PalmBeachTan","001-10-0144-03",6.75
"PalmBeachTan","001-10-0314-01",6.75
"LearningExpress","001-10-0006-03",6.6
"LearningExpress","001-10-0046-02",6.6
"LearningExpress","001-10-0096-02",6.6
"LearningExpress","001-10-0096-03",6.6
"LearningExpress","001-10-0096-04",6.6
"LearningExpress","001-10-0096-05",6.6
"LearningExpress","001-10-0104-12",6.6
"LearningExpress","001-10-0109-53",6.6
"LearningExpress","001-10-0144-01",6.6
"LearningExpress","001-10-0144-03",6.6
"LearningExpress","001-10-0314-01",6.6
"Wholesale60","001-10-0006-03",6
"Wholesale60","001-10-0046-02",6
"Wholesale60","001-10-0096-02",6
"Wholesale60","001-10-0096-03",6
"Wholesale60","001-10-0096-04",6
"Wholesale60","001-10-0096-05",6
"Wholesale60","001-10-0104-12",6
"Wholesale60","001-10-0109-53",6
"Wholesale60","001-10-0144-01",6
"Wholesale60","001-10-0144-03",6
"Wholesale60","001-10-0314-01",6
