;1;"Nova Aquatics INC";;"12207 Gayton Road";"Henrico ";61;23238;"US";"804-754-3402";;;3;37.6162534;-77.6387483;15;;;;
;1;"10s Shop";;"9835 Wolf River";"Germantown";56;38139;"US";"(901) 552-6196";;"http://www.facebook.com/pages/10s-shop/28812343788";3;35.0951916;-89.7340027;15;;;;
;1;"1379 Sports";;"4301 West William Cannon Bldg E2  Ste 230";"Austin";57;78749;"US";"(512) 215-0194";;"http://www.1379sports.com/";3;30.2211575;-97.8411913;15;;;;
;1;"1379 Sports";;"1615 Sunnyvale";"Austin";57;78741;"US";"(512) 215-0194";;;3;30.242664;-97.732135;15;;;;
;1;"1379 Sports -Central";;"2727 Exposition Blvd Suite 121";"Austin";57;78703;"US";"(512) 474-1379";;"http://www.1379sports.com/";3;30.304231;-97.764066;15;;;;
;1;"180 Fitness";;"4-A College Plaza";"Statesboro";19;30458;"US";"(912) 871-6622";;"http://www.oneeightyfitness.com/";3;32.4344255;-81.7819787;15;;;;
;1;"180 Fitness";;"4a College Plaza";"Statesboro";19;30458;"US";"(912) 871-6622";;;3;32.4344179;-81.782011;15;;;;
;1;"1st Place Sports";;"3931 Baymeadows Road";"Jacksonville";18;32217;"US";"904-731-3676";;;3;30.2181671;-81.6150011;15;;;;
;1;"26 Hot Glen Ellyn Hot Yoga";;"830 Revere Rd";"Glen Ellyn";23;60137;"US";"(630) 793-9828";;"http://www.26hot.com/";3;41.867086;-88.051462;15;;;;
;1;"3 Sports";;"6241 River Road";"Richmond";61;23229;"US";"804-288-4000";;"www.threesports.com";3;37.569126;-77.5376983;15;;;;
;1;"3 Sports";;"2231 Old Brick Rd";"Glen Allen";61;23060;"US";"804-288-4000";;;3;37.647799;-77.602202;15;;;;
;1;"360 Fitness";;"2703 Capital Mall Drive; Ste. 102";"Olympia";62;98502;"US";"360.480.2682";;"www.360fitness.me";3;47.039377;-122.93545;15;;;;
;1;"360 Fitness";;"2006 Pleasure Dr SE";"Olympia";62;98501;"US";3605560341;;;3;46.98495;-122.874044;15;;;;
;1;"40 Atlantic";;"40 Atlantic Ave 2";"Marblehead";32;1945;"US";"(781) 631-7721";;;3;42.4986692;-70.8561685;15;;;;
;1;"5th Avenue";;"1911 W. Trindle Rd Suite 4";"Carlisle";51;17013;"US";"717-245-0706";;;3;40.1949037;-77.106647;15;;;;
;1;"600 The Salon";;"11006 Tottenham Drive";"Carmel";24;46032;"US";"(317) 507-2448";;"http://www.facebook.com/pages/Brandy-Jane-at-600-t";3;39.94758;-86.1591569;15;;;;
;1;"600 The Salon";;"120 Bayview Dr";"Cicero";24;46034;"US";"(317) 507-2448";;;3;40.134154;-86.01803;15;;;;
;1;"7th Avenue Salon";;"2103 Washington Ave";"Vincennes";24;47591;"US";8128872117;;;3;38.6828233;-87.5055701;15;;;;
;1;"7th Avenue Salon";;"3488 N Timberlake Dr";"Vincennes";24;47591;"US";"(320) 864-3071";;;3;38.731491;-87.488448;15;;;;
;1;"A Chic With Stix";;"807 River Road";"Fair Haven";41;7704;"US";"(732) 403-0285";;"http://achicwithstix.com/category/a-chic-with-stix";3;40.365506;-74.03394;15;;;;
;1;"A Cut Above";;"521 Easy St";"North Platte";38;69101;"US";"308) 534-7969";;"http://www.facebook.com/pages/A-Cut-Above-Salon-Sp";3;41.1237365;-100.7590637;15;;;;
;1;"A Mama and You";;"1908 Allen Ave";"Henderson";39;89011;"US";"702-683-6741";;;3;36.065993;-115.004652;15;;;;
;1;"A Runners Circle";;"3216 Loz Feliz Blvd";"Los Angeles";12;90039;"US";"(323) 661-8971";;"http://www.arunnerscircle.com/";3;34.1247684;-118.266085;15;;;;
;1;"A Running Start";;"705 Penn Ave";"West Reading ";51;19611;"US";"610-320-9097";;"www.arunningstart.biz/";3;40.3360573;-75.9520173;15;;;;
;1;"A Snail's Pace Running Shop - Brea";;"1040 East Imperial Highway";"Brea ";12;92821;"US";"(714) 529-6313";;"http://www.runasnailspace.com/brea.html";3;33.9119364;-117.8907064;15;;;;
;1;"A Snail's Pace Running Shop - Fountain Valley";;"8780 Warner Av";"Fountain Valley";12;92707;"US";"(714) 842-2337";;"http://www.runasnailspace.com/fv.html";3;33.715658;-117.9754345;15;;;;
;1;"A Snail's Pace Running Shop - Laguna Hills";;"24741 Alicia Parkway ";"Laguna Hills";12;92653;"US";"(949) 707 - 1460";;"http://www.runasnailspace.com/lh.html";3;33.603227;-117.693014;15;;;;
;1;"A Snail's Pace Running Shop - Monrovia";;"750 South Myrtle";"Monrovia";12;91016;"US";"(626) 568-9666";;"http://www.runasnailspace.com/monrovia.shtml";3;34.1438605;-118.0008447;15;;;;
;1;"A Snail's Pace Running Shop- Pasadena";;"340 East Colorado Blvd";"Pasadena";12;91101;"US";"(626) 568-9886";;"http://www.runasnailspace.com/pasadena.html";3;34.145837;-118.1434195;15;;;;
;1;"A Village Gift Shop";;"3 Village Square";"Glendale";47;45246;"US";"(513) 771-3927";;;3;39.270631;-84.459844;15;;;;
;1;"Aardvark Sports Shop";;"565 Main St";"Bethlehem ";51;18018;"US";"610-866-8300";;;3;40.6221381;-75.3819247;15;;;;
;1;"About You Training and Wellness";;"852 Westminster Ln";"Virginia Beach";61;23454;"US";"(757) 744-9355";;"http://www.facebook.com/pages/About-You-Training-W";3;36.8529567;-76.0453318;15;;;;
;1;"Above the Bar Fitness";;"2444 Pelham Road N";"St. Petersburg";18;"N/A";"US";"(727) 430-4617";;"www.atbfitness.com";3;27.794487;-82.755957;15;;;;
;1;"Abs Athletics";;"106 North 1st Avenue";"Winterset ";25;50273;"US";"(515) 462-9200";;"www.absathletics.com";3;41.3347327;-94.0145384;15;;;;
;1;"Absolute Center ";;"3658 Mt. Diablo Blvd";"Lafayette";12;94549;"US";"925-299-9642";;;3;37.890953;-122.127787;15;;;;"Suite 101"
;1;"Absolutely Fit";;"55 Water Street";"Hingham ";32;2043;"US";"(781) 741-8874";;"http://www.absolutelyfit.net/index.php";3;42.2441389;-70.883335;15;;;;
